home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDM,48.353802,11.7861,ELLX,49.626845,6.212134,Europe,6
EDDM,48.353802,11.7861,ENBR,60.2934,5.21814,Europe,2
EDDM,48.353802,11.7861,ENGM,60.193901,11.1004,Europe,8
EDDM,48.353802,11.7861,EPGD,54.377602,18.4662,Europe,1
EDDM,48.353802,11.7861,EPKK,50.077702,19.7848,Europe,8
EDDM,48.353802,11.7861,EPRZ,50.109791,22.024155,Europe,1
EDDM,48.353802,11.7861,EPWA,52.165699,20.9671,Europe,9
EDDM,48.353802,11.7861,EPWR,51.103719,16.882096,Europe,4
EDDM,48.353802,11.7861,ESGG,57.6628,12.2798,Europe,6
EDDM,48.353802,11.7861,ESSA,59.64849,17.928829,Europe,8
EDDM,48.353802,11.7861,EVRA,56.920752,23.970711,Europe,4
EDDM,48.353802,11.7861,EYVI,54.634102,25.285801,Europe,2
EDDM,48.353802,11.7861,FAOR,-26.140081,28.246801,Intercontinental,1
EDDM,48.353802,11.7861,HEAZ,30.091702,31.359739,Intercontinental,1
EDDM,48.353802,11.7861,KATL,33.6367,-84.428101,Intercontinental,2
EDDM,48.353802,11.7861,KBOS,42.36197,-71.0079,Intercontinental,2
EDDM,48.353802,11.7861,KCLT,35.2140007019043,-80.94309997558594,Intercontinental,4
EDDM,48.353802,11.7861,KDEN,39.860027,-104.673792,Intercontinental,4
EDDM,48.353802,11.7861,KDTW,42.21377,-83.353786,Intercontinental,2
